_id,active,name,description,type,volume,volume._id,volume.volume,volume.unit,amount,dimensions,weight_in_kg,is_sample_data
63ca9dabfde515abe70a1071,FALSE,Alucontainer 10m³,,,,63ca9e10fde51539930a1445,10,,1,,,
63ca9e0448b0e8500bab866d,TRUE,Alucontainer 10m³,,,,63ca9e0448b0e86c73ab866e,10,cbm,1,,1650,
63ca9e4348b0e87de8ab89bf,TRUE,Abrollcontainer 36m³,,,,63caa46ea455f59f8b6cc3f3,36,cbm,1,,,
63ca9f1cfde51562e30a21d5,TRUE,Tieflader DIL JF 42,,,,63ca9f1cfde51564cc0a21d6,1,,1,,2480,
63ca9f3dfde5150b160a24a0,TRUE,Container-Anhänger DIL JF 44,,,,63ca9f3dfde515133f0a24a1,1,,1,,2080,
63ca9f58fde51577550a263b,TRUE,Dreiseiten-Kipper DIL JF 55,,,,63ca9fa4fde51570970a2b4a,1,,1,,3190,
63ce29f418543a61e6948ba8,FALSE,"Beispielcontainer ASK offen (5,5 Normal)",Normal,,,63ce31a0fde515269d0f66e5,5.5,cbm,1,,,TRUE
63ce29f418543a1c08948baa,FALSE,Beispielcontainer ASK mit Deckel (3),,,,63ce319dfde51594180f66cb,3,cbm,1,,,TRUE
63ce3170fde5158bf80f648c,TRUE,"Absetzcontainer 5,5 cbm",offen,,,6412e7b1fefb67857b4f07c4,5.5,cbm,100,,,
63ce318cfde515d39f0f661e,TRUE,Absetzcontainer 7 cbm,offen,,,63ce3270fde51506840f7018,7,cbm,0,,,
63ce3198fde51559130f6690,TRUE,Absetzcontainer 10 cbm,offen,,,63ce327648b0e8fce6af1f85,10,cbm,0,,,
63ce3e8248b0e83b7ab01b02,TRUE,Absetzcontainer 10 cbm Deckel,Deckel,,,63ce6f495160ea38170e8ec0,10,cbm,0,,,
63ce4c565160ea830f0bc1b3,TRUE,Absetzcontainer 20 cbm,offen,,,646ddb8ea52a428029b2d7c0,20,cbm,3,,,
63ce637bf555874e88bdd58f,TRUE,Kundencontainer 10 cbm Deckel,Deckel,,,63cea0a1a455f5be357799b0,10,cbm,1,,,
63ce7bfba455f5490875c683,TRUE,Absetzcontainer 5 cbm Deckel,Deckel,,,63cea0b45160ea6db5111497,5,cbm,0,,,
63ce81b9f555872c9fbfbcf2,TRUE,offen,,,,63ce81b9f555879333bfbcf3,,cbm,0,,,FALSE
